"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"AlphaMissense pathogenicity scores for variants in ProteinGym","Supplementary table from Cheng et al. 2023 containing AlphaMissense pathogenicity scores for mutations found in ProteinGym DMS substitution data","3.20",NA,"RDS","https://www.science.org/doi/10.1126/science.adg7492",NA,NA,NA,TRUE,"Cheng et al. 2023","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Data.Frame","RDS","ProteinGymR/Cheng_ProteinGym_variants.rds"
"ProteinGym deep mutational scanning (DMS) assays for substitutions","ProteinGym DMS information for 217 assays from Notin et al. 2023","3.20",NA,"RDS","https://proteingym.org/",NA,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","List","RDS","ProteinGymR/ProGym217_DMS_subs_v1.1.rds"
"ProteinGym zero-shot DMS substitution benchmarks","Zero-shot DMS substitution benchmarks from Notin et al. 2023 using Spearman, NDCG, AUC, MCC, and Top-K recall metrics","3.20",NA,"RDS","https://proteingym.org/",NA,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","List","RDS","ProteinGymR/zeroshot_DMS_subs_v1.1.rds"
"ProteinGym metadata for 217 DMS substitution assays","Reference file for ProteinGym v1.1 217 DMS assays from Notin et al. 2023","3.20",NA,"RDS","https://proteingym.org/",NA,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Data.Frame","RDS","ProteinGymR/ref_file_217_DMS_subs_v1.1.rds"
"ProteinGym zero-shot DMS substitution benchmarks","Zero-shot DMS substitution benchmarks from Notin et al. 2023 using Spearman, NDCG, AUC, MCC, and Top-K recall metrics for 79 models","3.21",NA,"RDS","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Data.Frame","RDS","ProteinGymR/zeroshot_summary_scores_v1.2.rds"
"ProteinGym zero-shot DMS substitution scores for 79 models","Zero-shot substitution scores for 79 models across 217 DMS assays from Notin et al. 2023","3.21",NA,"RDS","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","List","RDS","ProteinGymR/zeroshot_scores_v1.2.rds"
"ProteinGym semi-supervised model prediction scores for 12 models","Semi-supervised prediction scores for 12 models across 217 DMS assays with contiguous 5 variable folds from Notin et al. 2023","3.21",NA,"RDS","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","List","RDS","ProteinGymR/supervised_contiguous5_scores_v1.2.rds"
"ProteinGym semi-supervised model prediction scores for 12 models","Semi-supervised prediction scores for 12 models across 217 DMS assays with modulo 5 variable folds from Notin et al. 2023","3.21",NA,"RDS","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","List","RDS","ProteinGymR/supervised_modulo5_scores_v1.2.rds"
"ProteinGym semi-supervised model prediction scores for 12 models","Semi-supervised prediction scores for 12 models across 217 DMS assays with random 5 variable folds from Notin et al. 2023","3.21",NA,"RDS","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","List","RDS","ProteinGymR/supervised_random5_scores_v1.2.rds"
"ProteinGym summary metrics of semi-supervised scores for 12 models","Performance metrics of 12 semi-supervised models across 217 DMS assays using 5 variable fold for contigous, modulo, and random settings from Notin et al. 2023","3.21",NA,"RDS","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Data.Frame","RDS","ProteinGymR/supervised_summary_scores_v1.2.rds"
